Tanggal,Media,Topik
10-Jan-21,Lapor Sleman,Daftar Akta Kelahiran Dan Kk Online
10-Jan-21,Lapor Sleman,Butuh Bantuan Talut Sungai.
10-Jan-21,Lapor Sleman,Jalan Berlubang
10-Jan-21,Twitter,Instruksi Bupati Sleman tentang Kebijakan Pengetatan Secara terbatas Kegiatan Masyarakat
10-Jan-21,Twitter,Relokasi sementara pedagang Pasar Balerante
10-Jan-21,Twitter,Banner CIta Mas Jajar
10-Jan-21,Website,Kandang ayam menyebabkan bau
10-Jan-21,Instagram,Instruksi Bupati Sleman tentang Kebijakan Pengetatan Secara terbatas Kegiatan Masyarakat
11-Jan-21,Website,Pengembangan smart city app
11-Jan-21,Website,Jalan berlubang
11-Jan-21,Lapor Sleman,Perkembangan Aplikasi Sleman Smart City Regency
11-Jan-21,Twitter,Pelanggaran Protokol Kesehatan
11-Jan-21,Lapor Sleman,PUNGUTAN DI SD NEGERI LEDOKNONGKO
11-Jan-21,Instagram,Pindah datang
11-Jan-21,Instagram,Bpjs pemerintah
11-Jan-21,Instagram,KTP Rusak
11-Jan-21,Instagram,KTP Rusak
11-Jan-21,Instagram,Hajatan saat Pengetatan Secara Terbatas Kegiatan Masyarakat
11-Jan-21,Instagram,Informasi kontak Puskeswan
11-Jan-21,Twitter,Reklame tidak berizin
11-Jan-21,Twitter,Pelanggaran Protokol Kesehatan saat PSTKM
11-Jan-21,Twitter,Jam Pelayanan Dukcapil
11-Jan-21,Instagram,Pindah datang
11-Jan-21,Instagram,Pelanggaran Protokol Kesehatan saat PSTKM
11-Jan-21,Instagram,Update KK online
11-Jan-21,Twitter,Data jumlah kasus covid - 19
11-Jan-21,Twitter,Jalan Gito - Gati
11-Jan-21,Twitter,Warung menjual makanan berpengawet
11-Jan-21,Twitter,Sistem layanan online dukcapil
11-Jan-21,Website,Bantuan sosial
11-Jan-21,Lapor Sleman,Papan Iklan Di Badan Jalan
11-Jan-21,Lapor Sleman,Butuh Bantuan Talut Sungai..
11-Jan-21,Lapor Sleman,Jl Berlubang
11-Jan-21,Instagram,Penyelenggaraan hajatan
11-Jan-21,Instagram,Pembangunan talud kekurangan dana
11-Jan-21,Instagram,Pengetatan Terbatas Kegiatan Masyarakat PTKM
11-Jan-21,Instagram,Pengetatan Terbatas Kegiatan Masyarakat PTKM
11-Jan-21,Instagram,Toko masih buka sampai malam saat diberlakukan PTKM
11-Jan-21,Instagram,Pengetatan Terbatas Kegiatan Masyarakat PTKM
12-Jan-21,Instagram,Pengetatan Terbatas Kegiatan Masyarakat PTKM
12-Jan-21,Instagram,Saran agar RS Taurot menyediakan tempat cuci tangan
12-Jan-21,Website,Median Jalan Ring Road Utara
12-Jan-21,Website,Percetakan tidak menerapkan isntruksi bupati tentang PTKM
12-Jan-21,Instagram,Percetakan tidak menerapkan isntruksi bupati tentang PTKM
12-Jan-21,Website,Jalan Jemblong
12-Jan-21,Twitter,Sekolah tidak menerapkan Instruksi Bupati tentang PTKM
12-Jan-21,Twitter,Rambu jalan tertutup pohon
12-Jan-21,Twitter,Legalisir akta nikah
12-Jan-21,Twitter,Aliran air PDAM
12-Jan-21,Website,Antrian pelayanan BPN membuat kerumunan saat PTKM
12-Jan-21,Website,Antrian pelayanan BPN tidak manusiawi
12-Jan-21,Website,Bantuan sosial TKSK
12-Jan-21,Instagram,Masuk wilayah Sleman saat diberlakukan PTKM
12-Jan-21,Instagram,Resto buka sampai malam saat diberlakukan PTKM
12-Jan-21,Instagram,Resto menerima tamu makan ditempat di atas jam 7 malam saat diberlakukan PTKM
