Tanggal,Media,Topik
16-May-21,Lapor Sleman,Fasum Ring Basket Rusak
16-May-21,Instagram,PEMBATASAN KEGIATAN BUKA PUASA BERSAMA DAN OPEN HOUSE / HALAL BIHALAL
17-May-21,Instagram,Kontak Puskeswan
17-May-21,Twitter,Permohonan rambu lalu lintas
17-May-21,Website,PKH
17-May-21,Instagram,Pembuatan Akta lahir
17-May-21,Instagram,Jam pelayanan puskeswan
17-May-21,Instagram,Pelayanan Dukcapil
18-May-21,Website,Pengerjaan Jl Piyungna Prambanan
18-May-21,Lapor Sleman,Pelaksaan Kegiatan Tatap Muka
18-May-21,Email,Pecah PBB
18-May-21,Instagram,Aliran PDAM
18-May-21,Twitter,KTP hilang
19-May-21,Lapor Sleman,LPJU Mati
19-May-21,Instagram,Pembuatan Akta lahir
19-May-21,Instagram,Gerombolan anak muda
20-May-21,Lapor Sleman,Lampu PJU Mati
20-May-21,Website,Permohonan KIS dan PKH
20-May-21,Instagram,Kandang kambing di tengah pemukiman
20-May-21,Twitter,Prosedur sewa rusun
20-May-21,Twitter,Klaster covid 19 di perusahaan
20-May-21,Instagram,Perubahan dokumen kependudukan
21-May-21,Lapor Sleman,Air PDAM Sering Mati
21-May-21,Instagram,lowongan kerja
21-May-21,Website,Jalan berlubang
21-May-21,Instagram,Informasi PPDB
21-May-21,Lapor Sleman,Pindah Penduduk
21-May-21,Lapor Sleman,Pelaksanaan Pembelajaran Offline Di Pondok Pesantren Sleman Dengan Aturan Prokes Yang Masih Karet
22-May-21,Lapor Sleman,Parkir Yang Mengganggu
22-May-21,Lapor Sleman,Demam Berdarah Dengue
22-May-21,Twitter,Perizinan pendirian reklame
22-May-21,Twitter,Jalan perlu diaspal kembali
22-May-21,Twitter,APILL mati
23-May-21,Instagram,Aliran PDAM
23-May-21,Instagram,Informasi formasi PPPK
23-May-21,Lapor Sleman,Lapor Kondisi Jalan Berlubang
23-May-21,Lapor Sleman,Bikin Sertifikat Tanah
23-May-21,Lapor Sleman,Kegiatan Melanggar Prokes
24-May-21,Lapor Sleman,Jembatan Kali Boyong Membahayakan
24-May-21,Twitter,Pengurusan kartu KIS
24-May-21,Twitter,Vaksin lansia
24-May-21,Website,Vaksin masyarakat umum
24-May-21,Instagram,Penggantian KK
24-May-21,Facebook Pemkab Sleman,Kartu rentan miskin
24-May-21,Twitter,Depan sardjito butuh penerangan jalan
25-May-21,Instagram,Informasi PPDB
25-May-21,Instagram,Pelayanan online Dukcapi;
25-May-21,Lapor Sleman,Jalan Berlubang
25-May-21,Twitter,Reward untuk penderita TBC
26-May-21,Lapor Sleman,Validasi E-KTP
26-May-21,Website,Sistem zonasi SMA
26-May-21,Twitter,Vaksin bagi umum
26-May-21,Facebook Lapor Sleman,Penutup gorong gorong membahayakan pengendara
27-May-21,Website,Pedagang habis mudik langsung jualan
27-May-21,Instagram,Informasi CPNS
27-May-21,Instagram,Pedagang habis mudik langsung jualan
27-May-21,Lapor Sleman,Lampu Traific Light Berbahaya
27-May-21,Instagram,Bantuan RTLH
27-May-21,Instagram,Informasi CPNS
27-May-21,Twitter,Pengerjaan Jl Gito Gati
27-May-21,Twitter,Lampu Traific Light Berbahaya
27-May-21,Twitter,Jalan Berlubang
27-May-21,Lapor Sleman,Vaksinasi Covid Lansia
27-May-21,Website,Bantuan sosial
27-May-21,Website,Balik nama PBB
27-May-21,Website,Pemasangan kabel yang semrawut
27-May-21,Website,Dispensasi pelayanan IMB
27-May-21,Instagram,Pendaftaran BPUM
27-May-21,Instagram,"PERESMIAN ANJUNGAN DUKCAPIL MANDIRI (ADM) 
DINAS DUKCAPIL SLEMAN"
27-May-21,Instagram,"PERESMIAN ANJUNGAN DUKCAPIL MANDIRI (ADM) 
DINAS DUKCAPIL SLEMAN"
27-May-21,Instagram,"PERESMIAN ANJUNGAN DUKCAPIL MANDIRI (ADM) 
DINAS DUKCAPIL SLEMAN"
27-May-21,Instagram,"PERESMIAN ANJUNGAN DUKCAPIL MANDIRI (ADM) 
DINAS DUKCAPIL SLEMAN"
28-May-21,Instagram,"PERESMIAN ANJUNGAN DUKCAPIL MANDIRI (ADM) 
DINAS DUKCAPIL SLEMAN"
28-May-21,Lapor Sleman,Jalanan Membahayakan
28-May-21,Website,Jadwal vaksin petugas publik
28-May-21,Website,Pengawasan protokol kesehatan
28-May-21,Website,Sampah di selokan mataram
28-May-21,Twitter,Drainase Underpass Kentungan
28-May-21,Facebook Pemkab Sleman,Permohonan pencetakan KTPel luar daerah
28-May-21,Instagram,Zonasi Kalurahan
29-May-21,Twitter,Drainase Underpass Kentungan
29-May-21,Twitter,Permohonan marka zona sekolah
29-May-21,Twitter,Regulasi bagi penanaman tiang FO
29-May-21,Facebook Pemkab Sleman,Informasi transmigrasi
29-May-21,Instagram,Drainase underpass Kentungan
29-May-21,Instagram,Drainase underpass Kentungan
29-May-21,Instagram,Informasi laporan kasus covid puskesmas
29-May-21,Instagram,Peraturan mengenai rokok
29-May-21,Instagram,informasi Varian covid masuk sleman
29-May-21,Instagram,Jam pelayanan Dukcapil
29-May-21,Instagram,Drainase underpass Kentungan
29-May-21,Instagram,Perizinan hajatan
30-May-21,Twitter,Jeep wisata Merapi
30-May-21,Twitter,Vaksinasi lansia
30-May-21,Instagram,Data terpapar covid di ngamplong
31-May-21,Website,BPJS pemerintah
31-May-21,Instagram,Jeep wisata Merapi
31-May-21,Lapor Sleman,Truk Gol. C Yang Melanggar Rambu
31-May-21,Lapor Sleman,Pohon Melinjo Tua Sebelah Rumah
31-May-21,Instagram,Vaksin bagi pekerja publik
31-May-21,Instagram,Penyemprotan desinfektan lingkungan Pemkab
31-May-21,Twitter,Pemangkasan ranting pohon perindang
1-Jun-21,Instagram,Lowongan guru honorer
1-Jun-21,Instagram,Vaksin bagi masyarakat umum
1-Jun-21,Website,Live music mengganggu
1-Jun-21,Lapor Sleman,Pelanggaran Prokes Di Empire Store Jl Raya Tajem
1-Jun-21,Lapor Sleman,Apakah Sudah Ada Pengumuman Formasi Untuk Cpns Di Pemkab Sleman
1-Jun-21,Lapor Sleman,Pendaftaran vaksin bagi pra lansia
1-Jun-21,Twitter,Sinkronisasi data kependudukan
1-Jun-21,Twitter,Pendaftaran vaksin bagi pra lansia
1-Jun-21,Twitter,Usulan petugas kebersihan sampah
1-Jun-21,Twitter,Pendaftaran vaksin bagi pra lansia
1-Jun-21,Twitter,Pembaruan KK barcode
2-Jun-21,Website,Perpanjangan sewa Rusunawa
2-Jun-21,Website,Vaksin bagi petugas publik
2-Jun-21,Instagram,Perpanjangan PPKM
2-Jun-21,Lapor Sleman,Gorong-gorong Air Jebol Lagi Di Tengah Jalan Raya
2-Jun-21,Lapor.go.id,Kerumunan di K-Hotel Kaliurang
2-Jun-21,Instagram,Pindah datang
2-Jun-21,Instagram,Fasilitas swab gratis
2-Jun-21,Instagram,Fasilitas swab gratis
2-Jun-21,Website,Aduan belum jelas
2-Jun-21,Email,LPJU yang masih kurang di area Berbah
2-Jun-21,Instagram,Vaksin bagi masyarakat umum
2-Jun-21,Twitter,APILL mati
3-Jun-21,Twitter,Pendaftaran vaksin
3-Jun-21,Website,Aliran PDAM
3-Jun-21,Lapor Sleman,Dukcapil Online
3-Jun-21,Lapor Sleman,Urugan Tebing Liar Di Mejing Wetan Membahayakan Lingkungan
3-Jun-21,Facebook Pemkab Sleman,Pelayanan online Dukcapil
3-Jun-21,Instagram,PPKM
3-Jun-21,Instagram,Vaksin bagi lansia
3-Jun-21,Instagram,Prosedur permohonan Akta yang hilang
3-Jun-21,Instagram,PPKM
4-Jun-21,Website,Pengamen dan manusia silver di perempatan
4-Jun-21,Twitter,KTPel rusak
4-Jun-21,Instagram,Belum dapat pemberitahuan jadwal vaksin tenaga pendidik
4-Jun-21,Lapor Sleman,Gaji Tak Naik Naik
5-Jun-21,Lapor Sleman,Pembuatan E-KTP
5-Jun-21,Twitter,Vaksin bagi pelaku pariwisata
5-Jun-21,Instagram,Penggantian KK
5-Jun-21,Instagram,SIMTARU belum dapat diakses
5-Jun-21,Instagram,Vaksina lansia
6-Jun-21,Lapor Sleman,Potensi Kerumunan Saat Legalisasi Dokumen Kependudukan
6-Jun-21,Lapor Sleman,Lampu Bangjo Error
6-Jun-21,Website,Kerumunan di Hotel Cakra
6-Jun-21,Website,Buruh dengan gaji 45 ribu
6-Jun-21,Twitter,Pindah KK
6-Jun-21,Twitter,APILL nyala kuning
6-Jun-21,Instagram,KTPel rusak
7-Jun-21,Lapor Sleman,COVID
7-Jun-21,Instagram,Pindah datang
7-Jun-21,Lapor Sleman,Kartu Kis Yg Tidak Aktif
7-Jun-21,Facebook Pemkab Sleman,Vaksian bagi lansia
7-Jun-21,Twitter,Penataan reklame
7-Jun-21,Website,Perizinan MBR Godean Jogja Hill
8-Jun-21,Twitter,Aliran PDAM
8-Jun-21,Twitter,Covid varian dari india
8-Jun-21,Facebook Pemkab Sleman,Gowes Pariwisata
8-Jun-21,Twitter,Pelayanan puskesmas
8-Jun-21,Twitter,Website layanan online Dukcapil
8-Jun-21,Instagram,Tracing pasien terkonfirmasi positif
8-Jun-21,Lapor Sleman,Tanya Legalisir KK
8-Jun-21,Facebook Pemkab Sleman,Vaksin bagi masyarakat umum
8-Jun-21,Twitter,KTPel rusak
8-Jun-21,Lapor Sleman,Jalan Rusak
8-Jun-21,Instagram,Pertanyaan magang
9-Jun-21,Lapor Sleman,Covid Klaster Kantor
9-Jun-21,Lapor Sleman,Layanan Online Yang Tidak Bisa Digunakan
9-Jun-21,Lapor Sleman,Pendaftaran PPDB Online 2021 Yang Tidak Jelas
9-Jun-21,Lapor Sleman,Pelayanan Lemot Sekali
9-Jun-21,Twitter,Pasang PDAM
9-Jun-21,Twitter,Website layanan online Dukcapil
9-Jun-21,Facebook Pemkab Sleman,Pendaftaran BPUM
9-Jun-21,Facebook Pemkab Sleman,Sunmor di area Stadion Maguwoharjo
9-Jun-21,Instagram,Pencetakan KTPel
9-Jun-21,Instagram,PPDB
9-Jun-21,Instagram,Jatilan
10-Jun-21,Twitter,Pendaftar belum emndapatkan jadwal vaksin
10-Jun-21,Lapor Sleman,LPJU Pasar Balangan Ke Timur Arah Margokaton
10-Jun-21,Instagram,PPDB SMA
10-Jun-21,Instagram,Vaksin bagi umur 18 tahun
10-Jun-21,Instagram,WA layanan Dukcapil
10-Jun-21,Instagram,Medsos Dukcapil
10-Jun-21,Instagram,Tutup gorong-gorong hilang
10-Jun-21,Facebook Pemkab Sleman,Kartu rentan miskin
10-Jun-21,Instagram,CPNS
11-Jun-21,Lapor Sleman,Efek Setelah Divaksin Covid 19
11-Jun-21,Lapor Sleman,"Vaksinasi Bagi Petugas Pelayanan Publik Dgn KTP Sleman, Loker Luar Sleman"
11-Jun-21,Website,Lowongan kerja di Pemkab Sleman
11-Jun-21,Website,Kerumunan di mbiru sport
11-Jun-21,Website,Daftar vaksin
11-Jun-21,Instagram,Sinkronisasi data kependudukan
11-Jun-21,Facebook Pemkab Sleman,Sinkronisasi data kependudukan
11-Jun-21,Instagram,Informasi PPDB
11-Jun-21,Instagram,Informasi vaksin umum
12-Jun-21,Lapor Sleman,Tentang ISOMAN
12-Jun-21,Facebook Pemkab Sleman,Pengamen
12-Jun-21,Twitter,Ranting potongan tidak di angkut
12-Jun-21,Twitter,Pelayanan pengangkutan sampah rumah tangga
13-Jun-21,Lapor Sleman,Konser Musik Metal Di Warkop Hippies Malam Hari
13-Jun-21,Facebook Pemkab Sleman,Sinkronisasi data kependudukan
13-Jun-21,Instagram,Pegawai restaurant positif covid dan meninggal
13-Jun-21,Instagram,Konser mengganggu ketenangan lingkungan
13-Jun-21,Instagram,Pendaftaran vaksinasi
13-Jun-21,Twitter,Penyuluhan pembakaran sampah
14-Jun-21,Instagram,Informasi vaksin umum
14-Jun-21,Lapor Sleman,Soto Lamongan Pak Narto TIDAK TERTIB
14-Jun-21,Website,Kerumunan di sekitar stadion
14-Jun-21,Instagram,Permohonan penyemprotan desinfektan
14-Jun-21,Instagram,Vaksin bagi pedagang pasar
14-Jun-21,Lapor Sleman,Lemotnya Sertipikat
14-Jun-21,Lapor Sleman,Zonasi PPDB
14-Jun-21,Twitter,Peta zonasi covid
14-Jun-21,Instagram,Informasi vaksin umum
14-Jun-21,Instagram,Pendaftaran vaksin ditolak
14-Jun-21,Instagram,Peta zonasi covid
15-Jun-21,Website,Sisa material tidak dibereskan
15-Jun-21,Twitter,Pendaftaran vaksin
15-Jun-21,Twitter,Pendaftaran vaksin
15-Jun-21,Twitter,Ranting pohon perindang patah
15-Jun-21,Twitter,Pendaftaran vaksin
15-Jun-21,Twitter,SMS jadwal vaksin
15-Jun-21,Twitter,SMS jadwal vaksin
15-Jun-21,Instagram,Vaksin bagi umur 18 keatas
15-Jun-21,Instagram,Jenis vaksin
15-Jun-21,Instagram,SMS jadwal vaksin
15-Jun-21,Instagram,Peta zonasi covid
15-Jun-21,Instagram,Feed Instagram
15-Jun-21,Instagram,Jadwal vaksin
15-Jun-21,Instagram,Vaksin astrqazeneca
15-Jun-21,Facebook Pemkab Sleman,Pelaksana proyek
15-Jun-21,Instagram,Jadwal vaksin
15-Jun-21,Instagram,Vaksin bagi pariwisata
15-Jun-21,Instagram,Vaksin bagi umum
15-Jun-21,Twitter,Protokol kesehatan
15-Jun-21,Facebook Grup ICJ,Pipa PDAM bocor
16-Jun-21,Instagram,Vaksin bagi tenaga pendidik
16-Jun-21,Instagram,Vaksinasi massal pelaku pariwisata
16-Jun-21,Instagram,Pendaftaran vaksin
16-Jun-21,Instagram,Pendaftaran ditolak
16-Jun-21,Website,Parkir mengganggu jalan utama
16-Jun-21,Instagram,Jadwal vaksin
16-Jun-21,Instagram,Pertanyaan magang
16-Jun-21,Twitter,PPDB
16-Jun-21,Twitter,Jadwal vaksin
16-Jun-21,Website,Bantuan rumah tidak layak huni
16-Jun-21,Website,Bantuan sosial
16-Jun-21,Instagram,Acara seribuharian saat pemilik rumah positif covid
16-Jun-21,Facebook Pemkab Sleman,Mengurus surat pindah online
16-Jun-21,Twitter,Vaksin massal di hotel marriot
16-Jun-21,Twitter,Vaksin massal di hotel marriot
16-Jun-21,Instagram,Jatah Hidup bagi warga yang terkonfirmasi
16-Jun-21,Instagram,Daftar vakasin pekerja priwisata
16-Jun-21,Instagram,Pendaftaran pekerja publik
16-Jun-21,Instagram,video kerumunan event joget-joget yang digelar di @slemancityhall
16-Jun-21,Lapor Sleman,Bangunan Kost/hotel Tanpa Pemberitahuan Ke Warga.
16-Jun-21,Lapor Sleman,Pencemaran Udara Karena Industri
16-Jun-21,Twitter,video kerumunan event joget-joget yang digelar di SCH
17-Jun-21,Instagram,Pendaftaran BPUM
17-Jun-21,Instagram,Jam pelayanan kalurahan
17-Jun-21,Instagram,video kerumunan event joget-joget yang digelar di @slemancityhall
17-Jun-21,Instagram,Vaksin massal di hotel marriot
17-Jun-21,Instagram,Vaksin massal di hotel marriot
17-Jun-21,Instagram,Vaksin massal di hotel marriot
17-Jun-21,Instagram,Sekolah tatap muka
17-Jun-21,Instagram,Belum mendapat jadwal vaksin
17-Jun-21,Instagram,CPNS
17-Jun-21,Instagram,video kerumunan event joget-joget yang digelar di @slemancityhall
17-Jun-21,Instagram,Vaksin bagi pelayan publik
17-Jun-21,Website,Perizinan jogja eco wisata
17-Jun-21,Lapor Sleman,Lampu Bangjo Jln Kabupaten + Jln Godean
17-Jun-21,Lapor Sleman,Sampah Sungai
17-Jun-21,Lapor Sleman,T4 Makan Di Sleman Banyak Kerumunan Dan Tdk Prokes
17-Jun-21,Twitter,Permohonan surat pernyataan penghasilan
17-Jun-21,Twitter,Vaksin pelayan publik
18-Jun-21,Instagram,Kerumunan di SCH
18-Jun-21,Instagram,Warga mudik tidak isolasi
18-Jun-21,Instagram,Belum mendapat jadwal vaksin kedua
18-Jun-21,Instagram,Vaksin massal di hotel marriot
18-Jun-21,Instagram,Pembuatan KK online
18-Jun-21,Instagram,Mendapat SMS jadwal vaksin 2 kali
18-Jun-21,Instagram,vaksin massal di hotel marriot
18-Jun-21,Instagram,Jadwal vaksin lansia
18-Jun-21,Lapor Sleman,Lampu Lalin Mati
18-Jun-21,Twitter,Foto saat akad bank
18-Jun-21,Instagram,Jadwal vaksin
18-Jun-21,Lapor Sleman,Tidak Bisa Input Nama
18-Jun-21,Lapor Sleman,Surat Warga
18-Jun-21,Instagram,Vaksin sinovac
18-Jun-21,Instagram,Isolasi mandiri karena dari luar kota
18-Jun-21,Instagram,Vaksin bagi pelayan publik
18-Jun-21,Instagram,Umur 25 daftar vaksin
18-Jun-21,Instagram,SMS notifikasi dari Pemda untuk vaksin
18-Jun-21,Instagram,vaksin massal di hotel marriot
18-Jun-21,Instagram,Vaksin tenaga pendidik
18-Jun-21,Instagram,vaksin massal di hotel marriot
18-Jun-21,Twitter,vaksin massal di hotel marriot
18-Jun-21,Instagram,Tes di UGM
19-Jun-21,Lapor Sleman,KTP Rusak
19-Jun-21,Instagram,Vaksin massal di hotel marriot
19-Jun-21,Instagram,SKPWNI
19-Jun-21,Instagram,Patroli Satpol PP
19-Jun-21,Instagram,Vaksin bagi usia 18 th
19-Jun-21,Instagram,Banyak ornag masuk dari luar kota untuk Tes Masuk UGM
19-Jun-21,Instagram,Verifikasi masuk sekolah mengakibatkan kerumunan
19-Jun-21,Instagram,vaksinasi massal pelaku pariwisata
19-Jun-21,Instagram,Vaksin bagi ibu menyusui
19-Jun-21,Twitter,Aturan mengenai penyelenggaraan hajatan
19-Jun-21,Twitter,Vaksin massal di hotel marriot
19-Jun-21,Twitter,Identitas pelapor
20-Jun-21,Lapor Sleman,Gangguan Keamanan.
20-Jun-21,Lapor Sleman,Jalan Randugowang Tergenang Air
20-Jun-21,Website,Pedagang pasar stan
20-Jun-21,Website,Club malam masih buka sampai malam
20-Jun-21,Lapor.go.id,Sleman City Hall Menggelar Konser pada masa status tanggap darurat
20-Jun-21,Lapor.go.id,TANAH UNRUK PROYEM DRAINASE MEROBOHKAN PAGAR
20-Jun-21,Lapor.go.id,Mengenai Nama Ibu Kandung yang tidak cocok tentang pendaftaran kartu prakerja
20-Jun-21,Twitter,Tempat siolasi pasien covid
20-Jun-21,Website,SMS sertifikat vaksin
20-Jun-21,Website,Prosedur penanganan pasien covid
20-Jun-21,Instagram,Ambulan jalan tanpa pasien
20-Jun-21,Instagram,Vaksin UMKM
20-Jun-21,Instagram,Vaksin bagi ibu menyusui
20-Jun-21,Instagram,Hotel untuk pasien covid
20-Jun-21,Instagram,Vaksin UMKM
20-Jun-21,Instagram,CPNS
20-Jun-21,Instagram,Vaksin massal di hotel marriot
20-Jun-21,Twitter,vaksin bagi pekerja
21-Jun-21,Instagram,Tidak jadi vaksin
21-Jun-21,Instagram,Vaksin UMKM
21-Jun-21,Instagram,Vaksin massal di hotel marriot
21-Jun-21,Instagram,Pendaftaran vaksin
21-Jun-21,Instagram,Pendaftaran BLK
21-Jun-21,Instagram,SIM keliling
21-Jun-21,Instagram,Kebijakan WFH WFO
21-Jun-21,Lapor Sleman,Pindah Domisili
21-Jun-21,Lapor Sleman,Tindak Lanjut Pasien Positif Covid
21-Jun-21,Lapor Sleman,Kapan Jadwal Vaksin Kedua?
21-Jun-21,Twitter,Kapan Jadwal Vaksin Kedua?
21-Jun-21,Lapor Sleman,Mohon Padukuhan Jangan Mempersulit Warga Mendapatkan Sppt PBB
21-Jun-21,Lapor Sleman,Satu Rumah Positif Covid Semua
21-Jun-21,Twitter,Vaksin massal di hotel marriot
21-Jun-21,Twitter,Vaksin bagi umum
21-Jun-21,Instagram,PPDB SMP
21-Jun-21,Facebook Pemkab Sleman,Pendaftaran vaksin
21-Jun-21,Instagram,Belum mendapat SMS jadwal vaksin
21-Jun-21,Instagram,Program hibah air mnum
22-Jun-21,Lapor Sleman,Listrik Padam 3x Dalam 24 Jam Kebelakang
22-Jun-21,Lapor Sleman,Drainase Di Jl Raya Kayen-Blotan
22-Jun-21,Lapor Sleman,Menyampaikan Info Vaksinasi COVID-19 Di Poltekkes Kemenkes Yogyakarta
22-Jun-21,Twitter,Informais tempat vaksin
22-Jun-21,Twitter,Vaksin bagi pekerja di luar Sleman
22-Jun-21,Instagram,Vaksin bagi umum
22-Jun-21,Instagram,Vaksin bagi umum
22-Jun-21,Instagram,Vaksin bagi umum
22-Jun-21,Instagram,PLN
22-Jun-21,Instagram,Kampus offline
22-Jun-21,Instagram,Razia manusia silver
22-Jun-21,Instagram,KKS
22-Jun-21,Instagram,Perpanjangan PPKM
22-Jun-21,Instagram,Vaksin bagi umum
22-Jun-21,Instagram,Bantuan bagi pasien terkonfirmasi yang isolasi
22-Jun-21,Instagram,Dafta penduduk masuk
22-Jun-21,Instagram,Vaksin massal di hotel marriot
22-Jun-21,Website,Vaksin massal di hotel marriot
23-Jun-21,Instagram,Kerumunan saat taziah
23-Jun-21,Twitter,Vaksin massal di hotel marriot
23-Jun-21,Instagram,Informasi jadwal vaksin
23-Jun-21,Twitter,vakasin bagi UMKM
23-Jun-21,Website,Klaster baru di pabrik
23-Jun-21,Lapor Sleman,Perihal Sosialisasi Vaksin
23-Jun-21,Lapor Sleman,Efek Vaksin Covid Pertama
23-Jun-21,Lapor Sleman,Aturan
23-Jun-21,Lapor Sleman,PJU Jalan Jatisawit Raya Padam 2 Titik
23-Jun-21,Twitter,Antrian di Dukcapil menjadikan kerumunan
23-Jun-21,Twitter,ODGJ mengganggu lalu lintas
23-Jun-21,Twitter,Informasi pendaftaran vaksin
23-Jun-21,Twitter,Vaksin untuk tenaga pendidik
23-Jun-21,Twitter,SMS jadwla vaksinasi
23-Jun-21,Instagram,Pendaftaran vaksin
23-Jun-21,Instagram,Operasi PPKM
23-Jun-21,Instagram,Pelayanan online Dukcapil
23-Jun-21,Instagram,SMS jadwal vaksin kedua
23-Jun-21,Instagram,Kampanye di pasar
24-Jun-21,Twitter,Informasi pendaftaran vaksin
24-Jun-21,Instagram,SMS jadwal vaksin
24-Jun-21,Lapor Sleman,Layanan aduan Dukcapil
24-Jun-21,Instagram,Permohonan KIA online
24-Jun-21,Instagram,SMS jadwal vaksin
24-Jun-21,Instagram,Pendaftaran vaksin mahasiswa luar daerah
24-Jun-21,Twitter,drainase underpass kentungan menyebabkan kecelakaan
24-Jun-21,Instagram,Informasi vaksin massal
24-Jun-21,Twitter,Sudah lewat jadwal vaksin
24-Jun-21,Lapor Sleman,Jadwal Vaksin
24-Jun-21,Facebook Pemkab Sleman,Menolak vaksin
24-Jun-21,Instagram,KKS
24-Jun-21,Lapor Sleman,Reddorz Monjali Dipakai Buat Prostitusi
24-Jun-21,Instagram,INBUP PPKM
25-Jun-21,Lapor Sleman,Pendaftaran Vaksinasi Covid 19
25-Jun-21,Lapor Sleman,Pembuatan Online
25-Jun-21,Lapor Sleman,Warung Kopi Ramai Kerumunan
25-Jun-21,Lapor Sleman,Susah Pasang PDAM Di Desa Klidon
25-Jun-21,Lapor Sleman,Reaksi Pasca Vaksin
25-Jun-21,Website,Underpass kentungan
25-Jun-21,Twitter,Pertanyaan seputar vaksin
25-Jun-21,Twitter,Cetak kartu Nikah
25-Jun-21,Instagram,PPKM tingkat RT RW
25-Jun-21,Instagram,Tes PCR di selter UII
25-Jun-21,Instagram,SMS jadwal vaksin
25-Jun-21,Instagram,SMS jadwal vaksin
25-Jun-21,Instagram,SES
25-Jun-21,Instagram,Vaksin massal di hotel marriot
25-Jun-21,Instagram,SMS pemberitahuan jadwal vaksin
26-Jun-21,Instagram,Olahraga sepak bola kerumunan
26-Jun-21,Lapor Sleman,4 Titik Lampu Mati
26-Jun-21,Lapor Sleman,Daftar Vaksin Pemkab. Sleman
26-Jun-21,Lapor Sleman,Info Shelter Covid
26-Jun-21,Lapor Sleman,Mkhon Dipantau
26-Jun-21,Lapor Sleman,Vaksin Covid
26-Jun-21,Website,Jadwal vaksin
26-Jun-21,Website,PPKM di Kapanewon Depok
26-Jun-21,Website,Vaksin terlewat jadwal
26-Jun-21,Twitter,Vaksiansi untuk umum
26-Jun-21,Instagram,Informasi vaksin massal
26-Jun-21,Instagram,Informasi vaksin massal
26-Jun-21,Instagram,Tes antigen
26-Jun-21,Instagram,Informasi selter
26-Jun-21,Instagram,SMS jadwal vaksin
26-Jun-21,Instagram,Diskotik buka dan menyebabkan kerumunan
27-Jun-21,Lapor Sleman,KURANGNYA PENERANGAN JALAN
27-Jun-21,Lapor Sleman,Pelanggaran Inbup PPKM Kabupaten
27-Jun-21,Lapor Sleman,Pemberitahuan PDAM
27-Jun-21,Lapor Sleman,Vaksin Covid 19 Di Sleman City Hall
27-Jun-21,Website,Sunmor UGM
27-Jun-21,Website,KKM
27-Jun-21,Twitter,Operasi PPKM
27-Jun-21,Twitter,Informasi relawan covid
27-Jun-21,Instagram,Efek Vaksin Covid Pertama
27-Jun-21,Instagram,Kerumunan di cafe daerah seturan
27-Jun-21,Instagram,Informasi vaksin massal
27-Jun-21,Instagram,Informasi vaksin umum
27-Jun-21,Instagram,Kader Kesehatan
27-Jun-21,Instagram,Informasi vaksin lansia
27-Jun-21,Instagram,Informasi vaksin umum
27-Jun-21,Instagram,Informasi vaksin umum
27-Jun-21,Instagram,Informasi vaksin ibu hamil
27-Jun-21,Instagram,Informasi vaksin
28-Jun-21,Lapor Sleman,Air PAM Di Dusun Plaosan Berwarna Cokelat
28-Jun-21,Lapor Sleman,Burung Anis Merah Pemda
28-Jun-21,Website,Vaksin bagi mahasiswa
28-Jun-21,Lapor.go.id,Potensi Kerumunan Acara Pernikahan di Sleman
28-Jun-21,Lapor Sleman,Vaksinasi Gratis
28-Jun-21,Lapor Sleman,BELUM MENDAPAT SMS JADWAL VAKSIN KE 2
28-Jun-21,Lapor Sleman,Vaksin Untuk LKK
28-Jun-21,Twitter,SMS jadwal vaksin
28-Jun-21,Twitter,SMS jadwal vaksin
28-Jun-21,Instagram,Vaksin pelaku UMKM
28-Jun-21,Instagram,Underpass kentungan
28-Jun-21,Instagram,informasi vaksin
28-Jun-21,Instagram,informasi vaksin
28-Jun-21,Instagram,Vaksin kedua tidak hadir
28-Jun-21,Instagram,informasi vaksin pralansia
28-Jun-21,Instagram,Informasi vaksin
28-Jun-21,Instagram,Informasi vaksin
28-Jun-21,Instagram,Belum adanya tracing
28-Jun-21,Lapor Sleman,PENDAFTARAN VAKSIN
28-Jun-21,Lapor Sleman,Pengangkatan Pamong Dukuh
28-Jun-21,Website,Pondok mulai masuk
28-Jun-21,Website,SMS jadwla vaksin kedua
28-Jun-21,Twitter,Surat Edaran Bupati Sleman Nomor 443/01745
28-Jun-21,Twitter,Vaksin bagi pelayan publik
28-Jun-21,Twitter,Pelayanan online Dukcapil
29-Jun-21,Lapor Sleman,Laporan Aduan Covid -19
29-Jun-21,Lapor Sleman,Vaksinasi Covid-19 Mahasiswa Luar
29-Jun-21,Lapor Sleman,Vaksin
29-Jun-21,Lapor Sleman,Adanya Massa Yang Berkumpul Di Masa Pndemi
29-Jun-21,Website,Pelayanan kesehatan
29-Jun-21,Twitter,PJU mati
29-Jun-21,Twitter,APILL mati
29-Jun-21,Twitter,PPKM
29-Jun-21,Twitter,Pelayanan kalurahan tridadi
29-Jun-21,Twitter,Website pendaftaran vaksin
29-Jun-21,Twitter,Website pendaftaran vaksin
29-Jun-21,Twitter,Website pendaftaran vaksin
30-Jun-21,Website,Layanan online Dukcapil
30-Jun-21,Twitter,Layanan Puskeswan Ngaglik
30-Jun-21,Twitter,Puskesmas sengdangadi
30-Jun-21,Lapor Sleman,"POHON MENGGANGGU JALAN, LOKASI JALAN WATES KM 7"
30-Jun-21,Twitter,Pendaftaran vaksin
30-Jun-21,Twitter,Layanan online Dukcapil
30-Jun-21,Instagram,Sinkronisasi NIK
